gml_id,OSM_ID,BEERS,BREWER,NAME,TYPE
OpenBeerMap_IDF.2445512538,2445512538,(1:Grimbergen),Non,Le Pavillon,bar
OpenBeerMap_IDF.2496809985,2496809985,(1:Heineken),Non,Chez Anna,pub
OpenBeerMap_IDF.2499743219,2499743219,"(2:Duvel,Guinness)",Non,Le Havane,pub
OpenBeerMap_IDF.251001752,251001752,"(4:Dark de triomphe,Ginger twist,Inseine,Maison blanche)",Oui,The Frog & Rosbif,pub
OpenBeerMap_IDF.251474115,251474115,"(3:Chouffe,Delirium,Tripel karmeliet)",Non,Le Vieux Chêne,pub
OpenBeerMap_IDF.251474117,251474117,"(10:Brewdog,Brewdog punk,Carolus triple,Grolsch,Kasteel rouge,...)",Non,La Tireuse,pub
OpenBeerMap_IDF.252958952,252958952,(1:Frog natural blonde),Oui,Frog XVI,pub
OpenBeerMap_IDF.252961401,252961401,(1:Guinness),Non,James Joyce,pub
OpenBeerMap_IDF.2549246541,2549246541,(1:Guinness),Non,Galway Irish Pub,pub
OpenBeerMap_IDF.2556489497,2556489497,"(3:1664,Chouffe,Delirium tremens)",Non,Au dernier Métro,pub
OpenBeerMap_IDF.2583431160,2583431160,(1:Leffe),Non,Le Maryland,pub
OpenBeerMap_IDF.2626551371,2626551371,"(3:Affligem,Guinness,Wel scotch)",Non,O'Brien's,pub
OpenBeerMap_IDF.2654697181,2654697181,(1:Kronenbourg),Non,L'Olivier,bar
OpenBeerMap_IDF.2685527894,2685527894,"(4:Carlsberg,Grimbergen,Guinness,Heineken)",Non,O'Sullivans Rebel Red,pub
OpenBeerMap_IDF.2699839267,2699839267,(1:Chouffe),Non,Taverne de la Butte,bar
OpenBeerMap_IDF.2715645721,2715645721,"(2:Chouffe,Guinness)",Non,Thirsty Mad Cat,bar
OpenBeerMap_IDF.2775842958,2775842958,"(3:1664,Affligem,Kronenbourg)",Non,Le Dumas,bar
OpenBeerMap_IDF.2778463121,2778463121,(1:Chouffe),Non,Le Sully,bar
OpenBeerMap_IDF.2788471673,2788471673,"(5:Carlsberg,Grimbergen,Grimbergen blanche,Guinness,Kronenbourg)",Non,Margen's Pub,pub
OpenBeerMap_IDF.2788471698,2788471698,"(4:Chouffe (la),Grimbergen,Guinness,Leffe)",Non,The Wall,pub
OpenBeerMap_IDF.2853546553,2853546553,(1:Guinness),Non,Sunset,bar
