insee,libelle1,libelle2,voie_num,voie_type,voie_nom,local,voie,CPBIBLIO,CEDEXB,BP,ville,DEPT,REGION,population_legale
60165,Bibliothèque De Le Coudray-Sur-Thelle,,6824,,rue Principale,,6824   rue Principale,60430,,,Le Coudray-sur-Thelle,60,22,536
60166,Bibliotheque Municipale,,47 ter,47 ter rue des acacias,rue des acacias,47 ter rue des acacias,47 ter   rue des acacias,60150,,,Coudun,60,22,956
60172,Bibliotheque Municipale,,,,,PLACE DE LA MAIRIE,,60580,,,Coye-la-Forêt,60,22,3971
60175,Mediatheque Antoine Chanut,,,,ALLEE NELSON,LA FAIENCERIE,ALLEE NELSON,60109,CEDEX,,Creil,60,22,34145
60176,Médiathèque Municipale,,,,,ESPACE RAMEAU,,60800,,,Crépy-en-Valois,60,22,14654
60178,Bibliotheque Municipale,,4,PLACE,DE L'HOTEL DE VILLE,,4 PLACE DE L'HOTEL DE VILLE,60360,,,Crèvecoeur-le-Grand,60,22,3554
60188,Bibliotheque Municipale,,8,RUE,DU RUSSON,,8 RUE DU RUSSON,60350,,,Cuise-la-Motte,60,22,2293
60189,Bibliothèque Municipale,,,Rue,de la planquette,,Rue de la planquette,60400,,,Cuts,60,22,971
60196,Bibliotheque Municipale,Rue de Ressons,33,rue,de Ressons,,33 RUE DE RESSONS,60790,,,Le Déluge,60,22,497
60197,Bibliothèque Municipale,,51,rue de la Libération,,,51 rue de la Libération,60530,,,Dieudonné,60,22,849
60199,Bibliothèque Municipale,,52,rue principale,,mairie de Domeliers,52 rue principale,60360,,,Doméliers,60,22,230
60207,Bibliotheque Municipale D'emeville,,20,RUE,FORET,,20 RUE DE LA FÖRET,60123,,,Éméville,60,22,305
60211,Eragny Sur Epte,,,RUE,CAMILLE PISSARO,,RUE PISSARO CAMILLE PISSARO,60590,,,Éragny-sur-Epte,60,22,599
